timestamp,policy,src,dst,path,proto,tcp_dst,flow_size_kb
1778382124.873766,FIFO,10.0.0.2,10.0.0.5,lower,tcp,5063,284.0
1778382124.916943,FIFO,10.0.0.2,10.0.0.5,upper,tcp,5065,291.0
1778382124.9265115,FIFO,10.0.0.7,10.0.0.3,lower,tcp,5066,584.9
1778382124.9334912,FIFO,10.0.0.3,10.0.0.6,upper,tcp,5067,447.9
1778382124.9447947,FIFO,10.0.0.7,10.0.0.4,lower,tcp,5068,714.5
1778382124.9687338,FIFO,10.0.0.1,10.0.0.5,upper,tcp,5069,560.6
1778382125.0183997,FIFO,10.0.0.5,10.0.0.1,lower,tcp,5070,356.6
1778382125.0433412,FIFO,10.0.0.6,10.0.0.3,upper,tcp,5072,328.9
1778382125.0514197,FIFO,10.0.0.3,10.0.0.6,lower,tcp,5071,690.4
1778382125.145377,FIFO,10.0.0.3,10.0.0.5,upper,tcp,5073,658.6
1778382125.1480684,FIFO,10.0.0.7,10.0.0.1,lower,tcp,5074,382.2
1778382125.154913,FIFO,10.0.0.1,10.0.0.6,upper,tcp,5075,390.9
1778382125.1569421,FIFO,10.0.0.6,10.0.0.3,lower,tcp,5076,593.7
1778382125.1668897,FIFO,10.0.0.3,10.0.0.8,upper,tcp,5077,702.7
1778382125.2610404,FIFO,10.0.0.3,10.0.0.5,lower,tcp,5079,416.8
1778382125.263671,FIFO,10.0.0.5,10.0.0.1,upper,tcp,5078,461.8
1778382125.272967,FIFO,10.0.0.4,10.0.0.5,lower,tcp,5081,287.6
1778382125.2773032,FIFO,10.0.0.6,10.0.0.3,upper,tcp,5080,620.6
1778382125.3029122,FIFO,10.0.0.6,10.0.0.1,lower,tcp,5082,541.3
1778382125.3111007,FIFO,10.0.0.7,10.0.0.1,upper,tcp,5084,355.0
1778382125.3153334,FIFO,10.0.0.2,10.0.0.8,lower,tcp,5083,270.9
1778382125.3165646,FIFO,10.0.0.2,10.0.0.5,upper,tcp,5085,640.1
1778382125.321113,FIFO,10.0.0.2,10.0.0.8,lower,tcp,5087,339.7
1778382125.3243017,FIFO,10.0.0.8,10.0.0.2,upper,tcp,5086,682.3
1778382125.3973916,FIFO,10.0.0.5,10.0.0.4,lower,tcp,5090,679.3
1778382125.4046233,FIFO,10.0.0.7,10.0.0.4,upper,tcp,5088,682.0
1778382125.4053967,FIFO,10.0.0.2,10.0.0.7,lower,tcp,5089,643.7
1778382125.424817,FIFO,10.0.0.6,10.0.0.2,upper,tcp,5092,580.0
1778382125.427006,FIFO,10.0.0.2,10.0.0.6,lower,tcp,5091,424.8
1778382125.4357843,FIFO,10.0.0.4,10.0.0.7,upper,tcp,5093,682.2
1778382125.5449789,FIFO,10.0.0.7,10.0.0.3,lower,tcp,5094,504.7
1778382125.5467265,FIFO,10.0.0.3,10.0.0.5,upper,tcp,5095,688.5
1778382125.582254,FIFO,10.0.0.3,10.0.0.5,lower,tcp,5097,548.3
1778382125.5851417,FIFO,10.0.0.7,10.0.0.2,upper,tcp,5096,731.3
1778382125.6109982,FIFO,10.0.0.7,10.0.0.3,lower,tcp,5098,553.1
1778382125.6497006,FIFO,10.0.0.5,10.0.0.4,upper,tcp,5100,510.0
1778382125.6574101,FIFO,10.0.0.1,10.0.0.8,lower,tcp,5099,345.0
