timestamp,policy,proto,src,dst,src_port,dst_port,path
1778549896.4357262,RL,tcp,10.0.0.8,10.0.0.2,36674,5008,high_bw
1778549896.446842,RL,tcp,10.0.0.3,10.0.0.7,33554,5011,balanced
1778549896.4664757,RL,tcp,10.0.0.7,10.0.0.1,53952,5010,low_delay
1778549896.4904845,RL,tcp,10.0.0.6,10.0.0.4,35754,5012,high_bw
1778549896.500343,RL,tcp,10.0.0.3,10.0.0.5,33218,5015,balanced
1778549896.5043876,RL,tcp,10.0.0.4,10.0.0.6,52772,5013,low_delay
1778549896.512683,RL,tcp,10.0.0.8,10.0.0.1,59672,5014,high_bw
1778549896.5171463,RL,tcp,10.0.0.7,10.0.0.3,37390,5020,balanced
1778549896.5197027,RL,tcp,10.0.0.4,10.0.0.7,35186,5021,high_bw
1778549896.5245585,RL,tcp,10.0.0.6,10.0.0.4,60010,5016,balanced
1778549896.5303757,RL,tcp,10.0.0.4,10.0.0.8,39742,5017,high_bw
1778549896.549015,RL,tcp,10.0.0.7,10.0.0.4,50610,5018,low_delay
1778549896.582054,RL,tcp,10.0.0.7,10.0.0.4,50648,5022,high_bw
1778549896.5891662,RL,tcp,10.0.0.3,10.0.0.7,59374,5019,balanced
1778549896.6443439,RL,tcp,10.0.0.7,10.0.0.4,34214,5024,high_bw
1778549896.6465383,RL,tcp,10.0.0.2,10.0.0.6,45846,5023,balanced
1778549896.6612706,RL,tcp,10.0.0.2,10.0.0.8,60130,5025,high_bw
1778549896.7375348,RL,tcp,10.0.0.7,10.0.0.1,47740,5026,low_delay
1778549896.7428396,RL,tcp,10.0.0.5,10.0.0.2,59148,5028,balanced
1778549896.7687051,RL,tcp,10.0.0.1,10.0.0.8,38078,5027,high_bw
1778549896.8011017,RL,tcp,10.0.0.4,10.0.0.6,38594,5029,balanced
1778549896.803421,RL,tcp,10.0.0.8,10.0.0.1,50390,5030,low_delay
1778549896.8059971,RL,tcp,10.0.0.3,10.0.0.5,44038,5033,high_bw
1778549896.81041,RL,tcp,10.0.0.2,10.0.0.6,50514,5031,high_bw
1778549896.815555,RL,tcp,10.0.0.7,10.0.0.1,53878,5032,balanced
1778549896.858366,RL,tcp,10.0.0.7,10.0.0.3,46126,5034,high_bw
1778549896.8787405,RL,tcp,10.0.0.3,10.0.0.6,42470,5035,balanced
1778549896.9021893,RL,tcp,10.0.0.5,10.0.0.2,57934,5036,low_delay
1778549896.9201226,RL,tcp,10.0.0.3,10.0.0.8,58120,5037,high_bw
1778549896.9307494,RL,tcp,10.0.0.8,10.0.0.4,60174,5038,balanced
1778549896.9842768,RL,tcp,10.0.0.3,10.0.0.8,50458,5039,high_bw
1778549897.0327523,RL,tcp,10.0.0.6,10.0.0.3,55128,5040,balanced
1778549897.0776463,RL,tcp,10.0.0.5,10.0.0.1,54560,5044,low_delay
1778549897.0800998,RL,tcp,10.0.0.5,10.0.0.1,58108,5042,high_bw
1778549897.0865147,RL,tcp,10.0.0.4,10.0.0.8,55090,5045,balanced
