episode,total_reward
558,-419
559,-300
560,-284
561,-410
562,-483
563,-413
564,-277
565,-363
566,-305
567,-499
568,-411
569,-378
570,-417
571,-444
572,-343
573,-324
574,-459
575,-367
576,-321
577,-448
578,-331
579,-396
580,-395
581,-331
582,-344
583,-227
584,-366
585,-405
586,-405
587,-351
588,-404
589,-334
590,-309
591,-390
592,-202
593,-343
594,-428
595,-335
596,-411
597,-317
598,-423
599,-378
600,-364
601,-314
602,-321
603,-504
604,-443
605,-513
606,-424
607,-404
608,-222
609,-229
610,-437
611,-344
612,-447
613,-338
614,-398
615,-306
616,-427
617,-487
618,-424
619,-400
620,-293
621,-319
622,-344
623,-478
624,-350
625,-401
626,-369
627,-329
628,-324
629,-282
630,-482
631,-274
632,-477
633,-396
634,-355
635,-307
636,-296
637,-537
638,-414
639,-365
640,-486
641,-340
642,-253
643,-387
644,-368
645,-335
646,-348
647,-329
648,-393
649,-478
650,-320
651,-360
652,-347
653,-451
654,-404
655,-503
656,-285
657,-358
658,-393
659,-252
660,-276
661,-373
662,-383
663,-280
664,-381
665,-494
666,-454
667,-570
668,-499
669,-375
670,-476
671,-289
672,-491
673,-328
674,-414
675,-361
676,-466
677,-311
678,-334
679,-397
680,-389
681,-440
682,-327
683,-335
684,-306
685,-380
686,-229
687,-494
688,-340
689,-358
690,-332
691,-419
692,-382
693,-275
694,-352
695,-332
696,-471
697,-498
698,-476
699,-469
700,-290
701,-352
702,-371
703,-369
704,-451
705,-352
706,-267
707,-410
708,-354
709,-446
710,-393
711,-337
712,-404
713,-259
714,-343
715,-461
716,-324
717,-479
718,-343
719,-366
720,-475
721,-272
722,-440
723,-484
724,-410
725,-447
726,-460
727,-382
728,-357
729,-403
730,-400
731,-354
732,-301
733,-399
734,-244
735,-330
736,-417
737,-351
738,-413
739,-356
740,-347
741,-425
742,-287
743,-272
744,-284
745,-242
746,-233
747,-352
748,-369
749,-330
750,-383
751,-329
752,-472
753,-368
754,-421
755,-420
756,-421
757,-368
758,-394
759,-402
760,-411
761,-320
762,-306
763,-566
764,-383
765,-314
766,-414
767,-334
768,-472
769,-344
770,-412
771,-393
772,-345
773,-379
774,-458
775,-329
776,-349
777,-202
778,-393
779,-382
780,-361
781,-267
782,-396
783,-409
784,-390
785,-324
786,-396
787,-264
788,-396
789,-319
790,-346
791,-446
792,-318
793,-265
794,-483
795,-328
796,-361
797,-298
798,-359
799,-393
800,-405
801,-265
802,-279
803,-277
804,-359
805,-346
806,-370
807,-325
808,-413
809,-335
810,-436
811,-298
812,-414
813,-245
814,-352
815,-367
816,-302
817,-466
818,-273
819,-379
820,-402
821,-269
822,-303
823,-420
824,-357
825,-534
826,-311
827,-241
828,-384
829,-397
830,-369
831,-398
832,-296
833,-463
834,-378
835,-341
836,-248
837,-298
838,-363
839,-256
840,-305
841,-430
842,-362
843,-235
844,-366
845,-361
846,-374
847,-501
848,-359
849,-323
850,-399
851,-262
852,-440
853,-419
854,-434
855,-335
856,-405
857,-459
858,-299
859,-432
860,-432
861,-431
862,-290
863,-469
864,-310
865,-400
866,-434
867,-390
868,-255
869,-406
870,-464
871,-406
872,-332
873,-301
874,-516
875,-421
876,-370
877,-412
878,-428
879,-314
880,-338
881,-219
882,-319
883,-377
884,-369
885,-438
886,-532
887,-334
888,-416
889,-292
890,-309
891,-357
892,-380
893,-364
894,-423
895,-406
896,-368
897,-313
898,-283
899,-530
900,-489
901,-424
902,-380
903,-306
904,-449
905,-369
906,-394
907,-295
908,-456
909,-445
910,-292
911,-339
912,-339
913,-262
914,-297
915,-381
916,-284
917,-404
918,-418
919,-306
920,-502
921,-333
922,-331
923,-361
924,-334
925,-442
926,-419
927,-389
928,-365
929,-388
930,-402
