timestamp,policy,proto,src,dst,src_port,dst_port,path
1778550708.889407,RL,tcp,10.0.0.5,10.0.0.1,35698,5042,upper
1778550708.9235463,RL,tcp,10.0.0.3,10.0.0.8,54598,5041,upper
1778550708.9244363,RL,tcp,10.0.0.5,10.0.0.4,54892,5046,lower
1778550708.9465027,RL,tcp,10.0.0.3,10.0.0.7,46254,5043,upper
1778550708.969841,RL,tcp,10.0.0.8,10.0.0.2,48746,5048,lower
1778550708.9787164,RL,tcp,10.0.0.1,10.0.0.6,58338,5051,upper
1778550708.9804132,RL,tcp,10.0.0.3,10.0.0.7,43210,5047,lower
1778550708.9909384,RL,tcp,10.0.0.3,10.0.0.7,60450,5049,upper
1778550709.0117445,RL,tcp,10.0.0.2,10.0.0.5,54668,5053,lower
1778550709.014651,RL,tcp,10.0.0.8,10.0.0.1,41486,5050,lower
1778550709.0151584,RL,tcp,10.0.0.6,10.0.0.2,46104,5054,upper
1778550709.0334563,RL,tcp,10.0.0.1,10.0.0.6,45508,5055,lower
1778550709.0553668,RL,tcp,10.0.0.8,10.0.0.4,50468,5052,upper
1778550709.1059995,RL,tcp,10.0.0.2,10.0.0.7,51612,5061,upper
1778550709.1120553,RL,tcp,10.0.0.5,10.0.0.2,46810,5060,lower
1778550709.1268227,RL,tcp,10.0.0.6,10.0.0.3,51736,5062,lower
1778550709.1346123,RL,tcp,10.0.0.8,10.0.0.4,46560,5056,upper
1778550709.142243,RL,tcp,10.0.0.8,10.0.0.1,58240,5058,upper
1778550709.1489,RL,tcp,10.0.0.3,10.0.0.6,42312,5057,lower
1778550709.1642716,RL,tcp,10.0.0.4,10.0.0.5,57072,5063,upper
1778550709.1674168,RL,tcp,10.0.0.3,10.0.0.6,42312,5057,lower
1778550709.170959,RL,tcp,10.0.0.3,10.0.0.6,59126,5059,lower
1778550709.2041094,RL,tcp,10.0.0.6,10.0.0.4,39872,5064,upper
1778550709.2279756,RL,tcp,10.0.0.1,10.0.0.6,56058,5065,upper
1778550709.2398183,RL,tcp,10.0.0.7,10.0.0.3,40716,5066,lower
1778550709.2483253,RL,tcp,10.0.0.2,10.0.0.7,49088,5067,upper
1778550709.2595775,RL,tcp,10.0.0.6,10.0.0.1,58984,5070,lower
1778550709.2695842,RL,tcp,10.0.0.4,10.0.0.6,43338,5071,upper
1778550709.2713974,RL,tcp,10.0.0.2,10.0.0.5,42214,5069,lower
1778550709.293012,RL,tcp,10.0.0.8,10.0.0.1,34804,5068,upper
1778550709.31289,RL,tcp,10.0.0.8,10.0.0.4,49542,5072,lower
1778550709.3153205,RL,tcp,10.0.0.3,10.0.0.6,50908,5073,upper
1778550709.3176475,RL,tcp,10.0.0.7,10.0.0.2,42130,5074,lower
1778550709.3626153,RL,tcp,10.0.0.6,10.0.0.4,43762,5076,upper
1778550709.381894,RL,tcp,10.0.0.5,10.0.0.4,33360,5078,lower
1778550709.382814,RL,tcp,10.0.0.6,10.0.0.1,53920,5080,upper
1778550709.391062,RL,tcp,10.0.0.2,10.0.0.5,37358,5077,upper
1778550709.4053361,RL,tcp,10.0.0.3,10.0.0.7,45210,5075,lower
1778550709.4102213,RL,tcp,10.0.0.3,10.0.0.7,36988,5079,upper
1778550709.4311924,RL,tcp,10.0.0.1,10.0.0.5,53714,5081,lower
1778550709.4713306,RL,tcp,10.0.0.8,10.0.0.4,47388,5082,upper
1778550709.4942334,RL,tcp,10.0.0.4,10.0.0.6,35088,5083,lower
1778550709.5247498,RL,tcp,10.0.0.1,10.0.0.5,45440,5085,upper
1778550709.5354173,RL,tcp,10.0.0.1,10.0.0.7,60468,5087,lower
1778550709.5402489,RL,tcp,10.0.0.8,10.0.0.1,33438,5084,upper
