timestamp,policy,proto,src,dst,src_port,dst_port,path
1778465406.034438,FIFO,tcp,10.0.0.6,10.0.0.3,59892,5038,high_bw
1778465406.0615242,FIFO,tcp,10.0.0.4,10.0.0.6,57054,5039,low_delay
1778465406.1150663,FIFO,tcp,10.0.0.6,10.0.0.3,42352,5040,balanced
1778465406.1275113,FIFO,tcp,10.0.0.6,10.0.0.2,37794,5042,high_bw
1778465406.1657197,FIFO,tcp,10.0.0.3,10.0.0.8,37778,5041,low_delay
1778465406.1683629,FIFO,tcp,10.0.0.2,10.0.0.6,49642,5043,balanced
1778465406.1729605,FIFO,tcp,10.0.0.5,10.0.0.2,58388,5044,high_bw
1778465406.2173438,FIFO,tcp,10.0.0.3,10.0.0.5,40836,5045,low_delay
1778465406.2319908,FIFO,tcp,10.0.0.8,10.0.0.2,50790,5046,balanced
1778465406.276424,FIFO,tcp,10.0.0.5,10.0.0.1,35216,5050,high_bw
1778465406.2772849,FIFO,tcp,10.0.0.3,10.0.0.5,59330,5051,low_delay
1778465406.279301,FIFO,tcp,10.0.0.3,10.0.0.8,32776,5049,balanced
1778465406.2877572,FIFO,tcp,10.0.0.4,10.0.0.6,48084,5047,high_bw
1778465406.2890642,FIFO,tcp,10.0.0.6,10.0.0.1,37308,5048,low_delay
1778465406.2994545,FIFO,tcp,10.0.0.1,10.0.0.5,48678,5055,balanced
1778465406.3184018,FIFO,tcp,10.0.0.1,10.0.0.6,58994,5057,high_bw
1778465406.3263147,FIFO,tcp,10.0.0.5,10.0.0.1,51452,5054,low_delay
1778465406.332611,FIFO,tcp,10.0.0.8,10.0.0.2,43780,5052,balanced
1778465406.3397636,FIFO,tcp,10.0.0.4,10.0.0.6,44766,5053,high_bw
1778465406.3416088,FIFO,tcp,10.0.0.8,10.0.0.4,54522,5056,low_delay
1778465406.3428173,FIFO,tcp,10.0.0.8,10.0.0.3,55148,5058,balanced
1778465406.3666868,FIFO,tcp,10.0.0.4,10.0.0.6,59162,5059,high_bw
1778465406.3933659,FIFO,tcp,10.0.0.5,10.0.0.1,54502,5060,low_delay
1778465406.4316716,FIFO,tcp,10.0.0.1,10.0.0.8,33936,5061,balanced
1778465406.4736323,FIFO,tcp,10.0.0.6,10.0.0.1,49494,5062,high_bw
1778465406.4904428,FIFO,tcp,10.0.0.6,10.0.0.4,46806,5064,low_delay
1778465406.5406234,FIFO,tcp,10.0.0.7,10.0.0.3,42666,5066,balanced
1778465406.5413525,FIFO,tcp,10.0.0.2,10.0.0.5,42240,5065,high_bw
1778465406.5499935,FIFO,tcp,10.0.0.2,10.0.0.5,36302,5063,low_delay
1778465406.5602984,FIFO,tcp,10.0.0.7,10.0.0.4,35952,5068,balanced
1778465406.5865636,FIFO,tcp,10.0.0.3,10.0.0.6,56558,5067,high_bw
1778465406.6301773,FIFO,tcp,10.0.0.1,10.0.0.5,57000,5069,low_delay
1778465406.6469104,FIFO,tcp,10.0.0.3,10.0.0.6,40674,5071,balanced
1778465406.6764107,FIFO,tcp,10.0.0.5,10.0.0.1,35814,5070,high_bw
1778465406.680931,FIFO,tcp,10.0.0.7,10.0.0.1,40944,5074,low_delay
1778465406.689144,FIFO,tcp,10.0.0.6,10.0.0.3,41422,5072,balanced
