timestamp,policy,proto,src,dst,src_port,dst_port,path
1778546239.195793,FIFO,tcp,10.0.0.3,10.0.0.7,38628,5049,upper
1778546239.211388,FIFO,tcp,10.0.0.8,10.0.0.1,40786,5050,lower
1778546239.2414384,FIFO,tcp,10.0.0.1,10.0.0.6,48358,5051,upper
1778546239.2556295,FIFO,tcp,10.0.0.8,10.0.0.4,51822,5052,lower
1778546239.2773552,FIFO,tcp,10.0.0.2,10.0.0.5,54212,5053,upper
1778546239.2800786,FIFO,tcp,10.0.0.6,10.0.0.2,56358,5054,lower
1778546239.290502,FIFO,tcp,10.0.0.1,10.0.0.6,42862,5055,upper
1778546239.3576853,FIFO,tcp,10.0.0.8,10.0.0.1,37750,5058,lower
1778546239.3646085,FIFO,tcp,10.0.0.3,10.0.0.6,56630,5057,upper
1778546239.3666613,FIFO,tcp,10.0.0.8,10.0.0.4,49458,5056,lower
1778546239.3734868,FIFO,tcp,10.0.0.6,10.0.0.3,35242,5062,upper
1778546239.377651,FIFO,tcp,10.0.0.3,10.0.0.6,51218,5059,lower
1778546239.3884099,FIFO,tcp,10.0.0.2,10.0.0.7,35946,5061,upper
1778546239.3904665,FIFO,tcp,10.0.0.5,10.0.0.2,48718,5060,lower
1778546239.393974,FIFO,tcp,10.0.0.4,10.0.0.5,51468,5063,upper
1778546239.434799,FIFO,tcp,10.0.0.6,10.0.0.4,43524,5064,lower
1778546239.4577684,FIFO,tcp,10.0.0.1,10.0.0.6,44630,5065,upper
1778546239.463083,FIFO,tcp,10.0.0.7,10.0.0.3,55716,5066,lower
1778546239.4881237,FIFO,tcp,10.0.0.2,10.0.0.7,54140,5067,upper
1778546239.5083413,FIFO,tcp,10.0.0.4,10.0.0.6,57682,5071,lower
1778546239.5102506,FIFO,tcp,10.0.0.8,10.0.0.1,54922,5068,upper
1778546239.5114894,FIFO,tcp,10.0.0.2,10.0.0.5,52084,5069,lower
1778546239.5132036,FIFO,tcp,10.0.0.6,10.0.0.1,43860,5070,upper
1778546239.53112,FIFO,tcp,10.0.0.8,10.0.0.4,44310,5072,lower
1778546239.5526054,FIFO,tcp,10.0.0.3,10.0.0.6,52734,5073,upper
1778546239.5594273,FIFO,tcp,10.0.0.7,10.0.0.2,42362,5074,lower
1778546239.6040032,FIFO,tcp,10.0.0.6,10.0.0.4,48578,5076,upper
1778546239.6105711,FIFO,tcp,10.0.0.3,10.0.0.7,40424,5075,lower
1778546239.6310477,FIFO,tcp,10.0.0.2,10.0.0.5,49482,5077,upper
1778546239.6336293,FIFO,tcp,10.0.0.5,10.0.0.4,33878,5078,lower
1778546239.6350558,FIFO,tcp,10.0.0.3,10.0.0.7,51020,5079,upper
1778546239.640549,FIFO,tcp,10.0.0.6,10.0.0.1,45556,5080,lower
1778546239.676535,FIFO,tcp,10.0.0.1,10.0.0.5,46872,5081,upper
1778546239.6952958,FIFO,tcp,10.0.0.8,10.0.0.4,36712,5082,lower
1778546239.7510512,FIFO,tcp,10.0.0.4,10.0.0.6,50738,5083,upper
1778546239.7669713,FIFO,tcp,10.0.0.8,10.0.0.1,56172,5084,lower
1778546239.7761135,FIFO,tcp,10.0.0.8,10.0.0.3,51194,5086,upper
