timestamp,policy,src,dst,path,proto,tcp_dst,flow_size_kb
1778382232.192861,RL,10.0.0.3,10.0.0.6,upper,tcp,5067,447.9
1778382232.209698,RL,10.0.0.7,10.0.0.4,lower,tcp,5068,714.5
1778382232.225108,RL,10.0.0.1,10.0.0.5,upper,tcp,5069,560.6
1778382232.2699022,RL,10.0.0.5,10.0.0.1,lower,tcp,5070,356.6
1778382232.2823315,RL,10.0.0.3,10.0.0.6,lower,tcp,5071,690.4
1778382232.3009853,RL,10.0.0.6,10.0.0.3,upper,tcp,5072,328.9
1778382232.3975427,RL,10.0.0.7,10.0.0.1,upper,tcp,5074,382.2
1778382232.4007711,RL,10.0.0.3,10.0.0.5,lower,tcp,5073,658.6
1778382232.40572,RL,10.0.0.1,10.0.0.6,upper,tcp,5075,390.9
1778382232.4072485,RL,10.0.0.6,10.0.0.3,lower,tcp,5076,593.7
1778382232.4184813,RL,10.0.0.3,10.0.0.8,upper,tcp,5077,702.7
1778382232.5192716,RL,10.0.0.4,10.0.0.5,lower,tcp,5081,287.6
1778382232.520129,RL,10.0.0.5,10.0.0.1,lower,tcp,5078,461.8
1778382232.5210571,RL,10.0.0.3,10.0.0.5,upper,tcp,5079,416.8
1778382232.522127,RL,10.0.0.6,10.0.0.3,lower,tcp,5080,620.6
1778382232.5320556,RL,10.0.0.6,10.0.0.1,upper,tcp,5082,541.3
1778382232.5327158,RL,10.0.0.2,10.0.0.8,lower,tcp,5083,270.9
1778382232.5408921,RL,10.0.0.7,10.0.0.1,lower,tcp,5084,355.0
1778382232.555731,RL,10.0.0.2,10.0.0.8,upper,tcp,5087,339.7
1778382232.5563736,RL,10.0.0.2,10.0.0.5,lower,tcp,5085,640.1
1778382232.559779,RL,10.0.0.8,10.0.0.2,upper,tcp,5086,682.3
1778382232.652004,RL,10.0.0.7,10.0.0.4,lower,tcp,5088,682.0
1778382232.6547494,RL,10.0.0.2,10.0.0.7,upper,tcp,5089,643.7
1778382232.655409,RL,10.0.0.5,10.0.0.4,lower,tcp,5090,679.3
1778382232.6752458,RL,10.0.0.2,10.0.0.6,upper,tcp,5091,424.8
1778382232.6791613,RL,10.0.0.6,10.0.0.2,lower,tcp,5092,580.0
1778382232.6832767,RL,10.0.0.4,10.0.0.7,upper,tcp,5093,682.2
1778382232.7806845,RL,10.0.0.3,10.0.0.5,lower,tcp,5095,688.5
1778382232.7839677,RL,10.0.0.7,10.0.0.3,upper,tcp,5094,504.7
1778382232.8302171,RL,10.0.0.7,10.0.0.2,lower,tcp,5096,731.3
1778382232.8339448,RL,10.0.0.3,10.0.0.5,upper,tcp,5097,548.3
1778382232.8563101,RL,10.0.0.7,10.0.0.3,lower,tcp,5098,553.1
1778382232.906587,RL,10.0.0.5,10.0.0.4,upper,tcp,5100,510.0
1778382232.907458,RL,10.0.0.1,10.0.0.8,lower,tcp,5099,345.0
