policy,tcp_decisions,upper_decisions,lower_decisions,upper_percent,lower_percent,traffic_tests,average_throughput_mbps,average_latency_ms,average_packet_loss_percent
FIFO,100,50,50,50.0,50.0,100,0.9607800000000003,871.8929899999999,0.0
RL,100,50,50,50.0,50.0,100,0.9739999999999998,799.57105,0.0
